player,TD,Z1D,Z2D,Z3D,Z4D,Z5D,HSR_count,sprint_count,max_speed,match_date,jersey_number,position,team_name,is_starting,substitute_time,total_playing_time,total_match_time
MBAPPE KYLIAN,8478.9,4391.2,2386.0,970.0,437.5,294.2,81.0,43.0,33.1,2022-12-10,10.0,FW,France,True,0.0,90.0,90.0
DEMBELE OUSMANE,9074.5,3222.4,3328.5,1300.4,791.3,431.9,117.0,63.0,34.1,2022-12-10,11.0,FW,France,True,46.0,46.0,90.0
RABIOT ADRIEN,11591.3,4213.4,4616.8,1560.2,886.7,315.3,138.0,71.0,31.3,2022-12-10,14.0,MF,France,True,0.0,90.0,90.0
UPAMECANO DAYOT,9758.4,4176.6,4120.0,956.3,372.8,131.7,89.0,34.0,30.3,2022-12-10,18.0,DF,France,True,0.0,90.0,90.0
HERNANDEZ THEO,9952.5,3908.3,3810.8,1203.3,711.6,318.5,101.0,49.0,33.4,2022-12-10,22.0,DF,France,True,82.0,82.0,90.0
COMAN KINGSLEY,1999.4,758.2,794.9,205.9,153.6,86.8,25.0,16.0,32.8,2022-12-10,20.0,FW,France,False,79.0,11.0,90.0
MOHARRAMI SADEGH,11647.3,4207.0,4971.1,1241.6,933.0,294.7,121.0,71.0,32.3,2022-11-21,2.0,DF,Iran,True,0.0,90.0,90.0
HAJISAFI EHSAN,11922.3,3954.6,5496.2,1628.6,804.8,38.2,138.0,48.0,27.5,2022-11-21,3.0,DF,Iran,True,0.0,90.0,90.0
MOHAMMADI MILAD,8271.4,2750.2,3461.6,1111.7,658.4,290.3,102.0,53.0,30.9,2022-11-21,5.0,DF,Iran,True,63.0,63.0,90.0
JAHANBAKHSH ALIREZA,6092.8,2242.1,2110.5,959.6,628.2,152.3,80.0,41.0,29.7,2022-11-21,7.0,FW,Iran,True,70.0,70.0,90.0
POURALIGANJI MORTEZA,10921.0,3831.1,4974.5,1381.5,566.8,167.1,120.0,44.0,31.4,2022-11-21,8.0,DF,Iran,True,0.0,90.0,90.0
TAREMI MEHDI,12119.8,4009.2,5176.3,1810.7,930.8,192.7,163.0,70.0,30.9,2022-11-21,9.0,FW,Iran,True,65.0,65.0,90.0
CHESHMI ROUZBEH,5451.0,2001.6,2555.4,656.8,205.0,32.2,66.0,19.0,27.8,2022-11-21,0.0,0,0,0,0.0,0.0,0.0
KARIMI ALI,6719.9,2095.9,2788.8,1267.4,532.2,36.3,109.0,35.0,27.8,2022-11-21,18.0,MF,Iran,True,0.0,90.0,90.0
HOSSEINI MAJID,10392.7,3707.1,5054.0,1130.7,401.2,99.8,104.0,35.0,30.1,2022-11-21,19.0,DF,Iran,True,0.0,90.0,90.0
NOOROLLAHI AHMAD,9185.1,2815.2,4309.6,1325.4,469.4,264.5,107.0,38.0,32.5,2022-11-21,21.0,MF,Iran,True,0.0,90.0,90.0
HOSSEINI HOSSEIN,4303.5,3416.9,735.0,133.0,18.1,0.0,14.0,1.0,20.8,2022-11-21,4.0,DF,Iran,False,0.0,0.0,90.0
EZATOLAHI SAEID,6014.3,1909.5,2726.9,1008.0,370.5,0.0,79.0,27.0,25.8,2022-11-21,0.0,0,0,0,0.0,0.0,0.0
KANANI HOSSEIN,5132.6,2037.6,2317.9,428.1,266.4,83.1,46.0,20.0,31.5,2022-11-21,13.0,DF,Iran,False,0.0,0.0,90.0
TORABI MEHDI,4408.8,1412.1,1732.7,840.3,423.7,0.0,74.0,27.0,26.5,2022-11-21,17.0,MF,Iran,False,63.0,27.0,90.0
GHOLIZADEH ALI,6117.0,1698.7,2778.4,991.6,449.0,198.8,92.0,33.0,29.1,2022-11-21,16.0,MF,Iran,False,46.0,44.0,90.0
AZMOUN SARDAR,2444.9,835.9,1025.2,290.9,206.8,86.3,26.0,15.0,28.6,2022-11-21,20.0,FW,Iran,False,0.0,0.0,90.0
PICKFORD JORDAN,5995.8,4494.5,1357.5,119.3,25.2,0.0,15.0,3.0,22.8,2022-11-21,1.0,GK,England,True,0.0,90.0,90.0
SHAW LUKE,10669.1,4300.7,4057.4,1246.1,698.8,367.0,114.0,54.0,31.1,2022-11-21,3.0,DF,England,True,0.0,90.0,90.0
RICE DECLAN,12846.5,4046.6,5914.5,1914.1,769.5,203.0,154.0,55.0,29.8,2022-11-21,4.0,MF,England,True,0.0,90.0,90.0
