player,TD,Z1D,Z2D,Z3D,Z4D,Z5D,HSR_count,sprint_count,max_speed,position,total_playing_time
FERNANDEZ ENZO,72275.5,22068.1,35698.0,9840.7,3547.5,1120.9,845.0,274.0,33.5,MF,631.0
FODEN PHIL,32667.1,10949.0,13436.2,4666.9,2363.7,1253.0,438.0,200.0,33.6,FW,259.0
FOFANA YOUSSOUF,23839.9,8890.7,10295.9,2870.4,1282.6999999999998,500.0,283.0,103.0,32.8,MF,176.0
FRANKOWSKI PRZEMYSLAW,31193.8,11187.2,12618.7,4168.2,2150.2,1069.5,373.0,166.0,33.2,DF,241.0
FRED,19029.8,4911.5,8584.5,3826.2000000000003,1477.7,229.39999999999998,340.0,108.0,30.0,MF,142.0
FREULER REMO,43704.5,13501.3,19889.2,7078.8,2821.4,412.5,607.0,194.0,29.0,MF,264.0
FULLER KEYSHER,18536.7,7041.5,6891.5,2562.6,1280.6,760.5,248.0,105.0,33.3,DF,164.0
GAKPO CODY,62276.6,21495.6,27707.4,8406.8,3281.6,1386.3,759.0,270.0,33.7,FW,537.0
GALINDEZ HERNAN,8760.4,7136.0,1430.8,111.30000000000001,63.3,19.0,17.0,6.0,30.1,GK,180.0
GALLARDO JESUS,31813.1,12510.2,13001.2,3348.0,1839.7,1113.1,296.0,157.0,34.6,DF,270.0
GAVI,37022.1,10725.6,18347.8,4800.4,2458.5,689.8,431.0,194.0,32.2,MF,272.0
